query_length,text_length,k,edlib_matches,sassy_matches,max_edits,bench_iter,alphabet,profile,rc,edlib_ns,edlib_ns_plus_one,sassy_ns,sassy_ns_plus_one
50,32000,3,0,0,3,1000,Dna,dna,withoutrc,186936,11356,20266,1212
50,64000,3,0,0,3,1000,Dna,dna,withoutrc,372796,27296,40358,1100
50,100000,3,0,0,3,1000,Dna,dna,withoutrc,590571,55873,62916,1131
50,128000,3,0,0,3,1000,Dna,dna,withoutrc,761424,79224,81518,1467
100,150,3,0,0,3,1000,Dna,dna,withoutrc,1964,7112,523,2436
100,250,3,0,0,3,1000,Dna,dna,withoutrc,2494,7261,594,2958
100,500,3,0,0,3,1000,Dna,dna,withoutrc,3892,7293,768,3244
100,1000,3,0,0,3,1000,Dna,dna,withoutrc,6672,7336,1085,2461
100,2000,3,0,0,3,1000,Dna,dna,withoutrc,12423,7551,1722,2565
100,4000,3,0,0,3,1000,Dna,dna,withoutrc,23845,8008,2950,2482
100,8000,3,0,0,3,1000,Dna,dna,withoutrc,46794,8992,5706,2912
100,16000,3,0,0,3,1000,Dna,dna,withoutrc,92651,10739,10342,2372
100,32000,3,0,0,3,1000,Dna,dna,withoutrc,186393,15116,20465,2628
100,64000,3,0,0,3,1000,Dna,dna,withoutrc,366321,30157,40390,2445
100,100000,3,0,0,3,1000,Dna,dna,withoutrc,589491,62246,62851,2327
100,128000,3,0,0,3,1000,Dna,dna,withoutrc,750202,81333,80793,2777
200,250,3,0,0,3,1000,Dna,dna,withoutrc,3230,12952,489,6869
200,500,3,0,0,3,1000,Dna,dna,withoutrc,4645,13356,698,6789
200,1000,3,0,0,3,1000,Dna,dna,withoutrc,7482,13464,1012,6896
200,2000,3,0,0,3,1000,Dna,dna,withoutrc,14084,14401,1691,7173
200,4000,3,0,0,3,1000,Dna,dna,withoutrc,24791,14165,2922,7672
200,8000,3,0,0,3,1000,Dna,dna,withoutrc,47428,14934,5530,7190
200,16000,3,0,0,3,1000,Dna,dna,withoutrc,93614,16869,11017,8479
200,32000,3,0,0,3,1000,Dna,dna,withoutrc,185514,20777,22829,8290
200,64000,3,0,0,3,1000,Dna,dna,withoutrc,370421,37894,43487,7838
200,100000,3,0,0,3,1000,Dna,dna,withoutrc,584283,65660,62672,7595
200,128000,3,0,0,3,1000,Dna,dna,withoutrc,726347,83719,78052,7159
300,500,3,0,0,3,1000,Dna,dna,withoutrc,5153,19029,754,13094
300,1000,3,0,0,3,1000,Dna,dna,withoutrc,7784,18778,1049,12507
300,2000,3,0,0,3,1000,Dna,dna,withoutrc,13593,19332,1724,12343
300,4000,3,0,0,3,1000,Dna,dna,withoutrc,24877,19790,3011,12030
300,8000,3,0,0,3,1000,Dna,dna,withoutrc,46890,20426,5260,11414
300,16000,3,0,0,3,1000,Dna,dna,withoutrc,92023,22597,10244,12128
300,32000,3,0,0,3,1000,Dna,dna,withoutrc,179354,25658,20578,12575
300,64000,3,0,0,3,1000,Dna,dna,withoutrc,358040,37687,39538,12111
300,100000,3,0,0,3,1000,Dna,dna,withoutrc,578737,71933,65991,13132
300,128000,3,0,0,3,1000,Dna,dna,withoutrc,754679,95441,80122,12616
500,1000,3,0,0,3,1000,Dna,dna,withoutrc,9549,33234,1023,27352
500,2000,3,0,0,3,1000,Dna,dna,withoutrc,15319,33478,1654,27829
500,4000,3,0,0,3,1000,Dna,dna,withoutrc,26835,33947,2941,27754
500,8000,3,0,0,3,1000,Dna,dna,withoutrc,49449,34547,5474,28143
500,16000,3,0,0,3,1000,Dna,dna,withoutrc,95102,36341,10536,28768
500,32000,3,0,0,3,1000,Dna,dna,withoutrc,186938,40195,20351,26279
500,64000,3,0,0,3,1000,Dna,dna,withoutrc,370133,52737,40176,26594
500,100000,3,0,0,3,1000,Dna,dna,withoutrc,587100,87111,62593,27538
500,128000,3,0,0,3,1000,Dna,dna,withoutrc,743958,105869,80063,26700
1000,2000,3,0,0,3,1000,Dna,dna,withoutrc,20108,147731,1702,97084
1000,4000,3,0,0,3,1000,Dna,dna,withoutrc,31135,79284,3022,97191
1000,8000,3,0,0,3,1000,Dna,dna,withoutrc,54173,80253,5497,95514
1000,16000,3,0,0,3,1000,Dna,dna,withoutrc,99519,81476,10549,96473
1000,32000,3,0,0,3,1000,Dna,dna,withoutrc,191407,85529,20497,92061
1000,64000,3,0,0,3,1000,Dna,dna,withoutrc,367946,159857,39117,89851
1000,100000,3,0,0,3,1000,Dna,dna,withoutrc,584285,121144,63086,95193
1000,128000,3,0,0,3,1000,Dna,dna,withoutrc,755113,121995,81280,94210
